Date/Time,Energy Produced (Wh),Energy Consumed (Wh)
04/01/2024 00:00,0,215
04/01/2024 00:15,0,202
04/01/2024 00:30,0,226
04/01/2024 00:45,0,204
04/01/2024 01:00,0,207
04/01/2024 01:15,0,173
04/01/2024 01:30,0,185
04/01/2024 01:45,0,193
04/01/2024 02:00,0,239
04/01/2024 02:15,0,228
04/01/2024 02:30,0,201
04/01/2024 02:45,0,176
04/01/2024 03:00,0,188
04/01/2024 03:15,0,190
04/01/2024 03:30,0,204
04/01/2024 03:45,0,190
04/01/2024 04:00,0,196
04/01/2024 04:15,0,227
04/01/2024 04:30,0,245
04/01/2024 04:45,0,212
04/01/2024 05:00,0,222
04/01/2024 05:15,0,204
04/01/2024 05:30,0,396
04/01/2024 05:45,0,375
04/01/2024 06:00,0,351
04/01/2024 06:15,0,263
04/01/2024 06:30,6,280
04/01/2024 06:45,35,251
04/01/2024 07:00,73,226
04/01/2024 07:15,114,228
04/01/2024 07:30,189,295
04/01/2024 07:45,310,1570
04/01/2024 08:00,409,1116
04/01/2024 08:15,551,774
04/01/2024 08:30,719,546
04/01/2024 08:45,806,310
04/01/2024 09:00,836,307
04/01/2024 09:15,865,322
04/01/2024 09:30,876,320
04/01/2024 09:45,1023,338
04/01/2024 10:00,1494,1014
04/01/2024 10:15,1754,1246
04/01/2024 10:30,1792,963
04/01/2024 10:45,1664,681
04/01/2024 11:00,1294,506
04/01/2024 11:15,1436,266
04/01/2024 11:30,894,225
04/01/2024 11:45,1415,1110
04/01/2024 12:00,956,858
04/01/2024 12:15,1214,968
04/01/2024 12:30,1127,763
04/01/2024 12:45,1461,722
04/01/2024 13:00,1428,457
04/01/2024 13:15,936,365
04/01/2024 13:30,898,363
04/01/2024 13:45,642,275
04/01/2024 14:00,266,315
04/01/2024 14:15,93,310
04/01/2024 14:30,44,454
04/01/2024 14:45,45,431
04/01/2024 15:00,96,407
04/01/2024 15:15,278,381
04/01/2024 15:30,429,427
04/01/2024 15:45,321,388
04/01/2024 16:00,181,387
04/01/2024 16:15,167,333
04/01/2024 16:30,204,333
04/01/2024 16:45,122,282
04/01/2024 17:00,81,277
04/01/2024 17:15,72,433
04/01/2024 17:30,92,397
04/01/2024 17:45,29,295
04/01/2024 18:00,14,307
04/01/2024 18:15,34,538
04/01/2024 18:30,2,345
04/01/2024 18:45,0,325
04/01/2024 19:00,0,359
04/01/2024 19:15,0,387
04/01/2024 19:30,0,770
04/01/2024 19:45,0,1229
04/01/2024 20:00,0,1114
04/01/2024 20:15,0,977
04/01/2024 20:30,0,875
04/01/2024 20:45,0,899
04/01/2024 21:00,0,853
04/01/2024 21:15,0,843
04/01/2024 21:30,0,839
04/01/2024 21:45,0,802
04/01/2024 22:00,0,774
04/01/2024 22:15,0,762
04/01/2024 22:30,0,780
04/01/2024 22:45,0,698
04/01/2024 23:00,0,759
04/01/2024 23:15,0,718
04/01/2024 23:30,0,662
04/01/2024 23:45,0,667
04/02/2024 00:00,0,684
04/02/2024 00:15,0,652
04/02/2024 00:30,0,700
04/02/2024 00:45,0,699
04/02/2024 01:00,0,696
04/02/2024 01:15,0,672
04/02/2024 01:30,0,680
04/02/2024 01:45,0,652
04/02/2024 02:00,0,649
04/02/2024 02:15,0,677
04/02/2024 02:30,0,688
04/02/2024 02:45,0,720
04/02/2024 03:00,0,676
04/02/2024 03:15,0,669
04/02/2024 03:30,0,637
04/02/2024 03:45,0,653
04/02/2024 04:00,0,675
04/02/2024 04:15,0,704
04/02/2024 04:30,0,690
04/02/2024 04:45,0,705
04/02/2024 05:00,0,684
04/02/2024 05:15,0,2057
04/02/2024 05:30,0,2606
04/02/2024 05:45,0,1925
04/02/2024 06:00,0,228
04/02/2024 06:15,0,247
04/02/2024 06:30,0,220
04/02/2024 06:45,0,290
04/02/2024 07:00,0,252
04/02/2024 07:15,1,227
04/02/2024 07:30,6,374
04/02/2024 07:45,5,316
04/02/2024 08:00,21,276
04/02/2024 08:15,52,228
04/02/2024 08:30,69,164
04/02/2024 08:45,67,210
04/02/2024 09:00,63,308
04/02/2024 09:15,73,306
04/02/2024 09:30,67,279
04/02/2024 09:45,87,311
04/02/2024 10:00,99,289
04/02/2024 10:15,79,288
04/02/2024 10:30,67,287
04/02/2024 10:45,102,282
04/02/2024 11:00,125,291
04/02/2024 11:15,119,275
04/02/2024 11:30,169,270
04/02/2024 11:45,183,223
04/02/2024 12:00,125,485
04/02/2024 12:15,93,410
04/02/2024 12:30,108,271
04/02/2024 12:45,103,286
04/02/2024 13:00,81,302
04/02/2024 13:15,59,289
04/02/2024 13:30,34,307
04/02/2024 13:45,37,284
04/02/2024 14:00,92,405
04/02/2024 14:15,172,297
04/02/2024 14:30,222,313
04/02/2024 14:45,218,291
04/02/2024 15:00,53,391
04/02/2024 15:15,41,286
04/02/2024 15:30,129,315
04/02/2024 15:45,198,498
04/02/2024 16:00,216,1108
04/02/2024 16:15,201,833
04/02/2024 16:30,166,752
04/02/2024 16:45,114,781
04/02/2024 17:00,89,951
04/02/2024 17:15,79,762
04/02/2024 17:30,73,740
04/02/2024 17:45,78,710
04/02/2024 18:00,56,653
04/02/2024 18:15,22,652
04/02/2024 18:30,5,662
04/02/2024 18:45,1,568
04/02/2024 19:00,0,600
04/02/2024 19:15,0,996
04/02/2024 19:30,0,895
04/02/2024 19:45,0,499
04/02/2024 20:00,0,438
04/02/2024 20:15,0,434
04/02/2024 20:30,0,378
04/02/2024 20:45,0,655
04/02/2024 21:00,0,3036
04/02/2024 21:15,0,2822
04/02/2024 21:30,0,3012
04/02/2024 21:45,0,3335
04/02/2024 22:00,0,3027
04/02/2024 22:15,0,2671
04/02/2024 22:30,0,2665
04/02/2024 22:45,0,2664
04/02/2024 23:00,0,2643
04/02/2024 23:15,0,2678
04/02/2024 23:30,0,2705
04/02/2024 23:45,0,2707
04/03/2024 00:00,0,2602
04/03/2024 00:15,0,2673
04/03/2024 00:30,0,2673
04/03/2024 00:45,0,2672
04/03/2024 01:00,0,2710
04/03/2024 01:15,0,2700
04/03/2024 01:30,0,2703
04/03/2024 01:45,0,2592
04/03/2024 02:00,0,2581
04/03/2024 02:15,0,2566
04/03/2024 02:30,0,1103
04/03/2024 02:45,0,208
04/03/2024 03:00,0,223
04/03/2024 03:15,0,204
04/03/2024 03:30,0,209
04/03/2024 03:45,0,224
04/03/2024 04:00,0,257
04/03/2024 04:15,0,231
04/03/2024 04:30,0,240
04/03/2024 04:45,0,200
04/03/2024 05:00,0,205
04/03/2024 05:15,0,203
04/03/2024 05:30,0,390
04/03/2024 05:45,0,317
04/03/2024 06:00,0,217
04/03/2024 06:15,0,238
04/03/2024 06:30,0,228
04/03/2024 06:45,0,238
04/03/2024 07:00,0,216
04/03/2024 07:15,3,218
04/03/2024 07:30,9,429
04/03/2024 07:45,6,340
04/03/2024 08:00,24,318
04/03/2024 08:15,39,323
04/03/2024 08:30,39,292
04/03/2024 08:45,47,243
04/03/2024 09:00,51,255
