month,grossConsumption,peakConsumption,offPeakConsumption,grossProduction,peakProduction,offPeakProduction,stdNoSolarCost,touNoSolarCost,stdSolarElectricCost,touSolarElectricCost,staticServiceCost,stdEVSavings,touEVSavings,stdNoSolarTotal,touNoSolarTotal,stdSolarTotal,touSolarTotal
"2024, 4",1697.991,512.994,1184.997,1428.418,957.397,471.021,311.16,261.62,49.55021313,59.4,35.8,14.18,3.55,332.78,293.87,71.17,81.02
"2024, 5",1304.164,391.768,912.396,1689.586,1078.872,610.714,238.99,200.57,-12.24485694,8.07,36.89,9.93,2.48,265.95,234.98,14.72,35.03
"2024, 6",1278.757,421.294,857.463,1515.533,988.6,526.933,234.33,202.84,-7.52237352,11.46,35.8,12.21,3.05,257.92,235.59,16.07,35.05
"2024, 7",1681.972,541.457,1140.515,1614.722,1086.897,527.825,308.22,264.69,12.3612225,41.82,36.89,14.28,3.57,330.83,298.01,34.97,64.43
"2024, 8",1329.142,471.026,858.116,1411.444,872.964,538.48,243.57,216.34,-2.61473454,17.04,36.89,12.34,3.09,268.12,250.14,21.94,41.59
"2024, 9",1361.848,392.027,969.821,1329.456,852.263,477.193,249.56,206.61,5.95397352,32.74,35.8,9.68,2.42,275.68,239.99,32.07,58.86
"2024, 10",1561.815,512.314,1049.501,978.642,717.541,261.101,286.2,247.37,107.1930291,75.33,36.89,12.21,3.05,310.88,281.21,131.87,100.01
"2024, 11",1540.466,504.789,1035.677,379.564,234.795,144.769,282.29,243.9,213.3853966,166.1,35.8,10.4,2.6,307.69,277.1,238.79,191.5
"2024, 12",1962.269,600.485,1361.784,257.361,157.517,99.844,359.59,303.62,313.3791395,251.66,36.89,16,4,380.48,336.51,334.27,272.55
"2025, 1",2145.915,711.054,1434.861,501.526,334.108,167.418,393.24,341.07,302.2551421,234.37,36.89,16,4,414.13,373.96,323.15,255.26
"2025, 2",2359.015,620.88,1738.135,370.834,273.828,97.006,432.29,348.21,365.4475496,265.3,33.62,16,4,449.91,377.83,383.07,282.92
"2025, 3",2112.638,538.684,1573.954,1115.901,755.193,360.708,387.14,308.96,183.210228,119.31,36.89,16,4,408.03,341.85,204.1,140.2
"2025, 4",2093.07,553.831,1539.239,1296.302,840.209,456.093,383.56,309.45,146.4539261,103.34,35.8,16,4,403.36,341.25,166.25,123.14
"2025, 5",240.819,53.477,187.342,109.446,38.586,70.86,44.13,33.9,24.14767113,16.19,36.89,3.97,0.99,77.05,69.8,57.07,49.11
,22669.881,6826.08,15843.801,13998.735,9188.77,4809.965,4154.27,3489.15,1700.955526,1402.13,507.74,179.2,44.8,4482.81,3952.09,2029.51,1730.67
