"VMhost","VMNIC","Driver","DriverVersion","FirmwareVersion","MacAddress","LinkStatus","speed","vSwitchName","uplinkName"
"vcf-lab-site1-esx05.int.sentania.net","vmnic1","nvmxnet3","2.0.0.31","7","00:50:56:80:40:c6","True","10000","lab-vcf-w01-cl01-vds-01","uplink2"
"vcf-lab-site1-esx05.int.sentania.net","vmnic0","nvmxnet3","2.0.0.31","7","00:50:56:80:6f:57","True","10000","lab-vcf-w01-cl01-vds-01","uplink1"
"vcf-lab-site1-esx05.int.sentania.net","vmnic3","nvmxnet3","2.0.0.31","7","00:50:56:80:4c:5a","True","10000","lab-vcf-w01-cl01-vds-02","uplink2"
"vcf-lab-site1-esx05.int.sentania.net","vmnic2","nvmxnet3","2.0.0.31","7","00:50:56:80:2c:c5","True","10000","lab-vcf-w01-cl01-vds-02","uplink1"
"vcf-lab-site1-esx07.int.sentania.net","vmnic1","nvmxnet3","2.0.0.31","7","00:50:56:80:94:a1","True","10000","lab-vcf-w01-cl01-vds-01","uplink2"
"vcf-lab-site1-esx07.int.sentania.net","vmnic0","nvmxnet3","2.0.0.31","7","00:50:56:80:b9:21","True","10000","lab-vcf-w01-cl01-vds-01","uplink1"
"vcf-lab-site1-esx07.int.sentania.net","vmnic3","nvmxnet3","2.0.0.31","7","00:50:56:80:8b:2a","True","10000","lab-vcf-w01-cl01-vds-02","uplink2"
"vcf-lab-site1-esx07.int.sentania.net","vmnic2","nvmxnet3","2.0.0.31","7","00:50:56:80:cd:fc","True","10000","lab-vcf-w01-cl01-vds-02","uplink1"
"vcf-lab-site1-esx06.int.sentania.net","vmnic1","nvmxnet3","2.0.0.31","7","00:50:56:80:89:25","True","10000","lab-vcf-w01-cl01-vds-01","uplink2"
"vcf-lab-site1-esx06.int.sentania.net","vmnic0","nvmxnet3","2.0.0.31","7","00:50:56:80:b3:0a","True","10000","lab-vcf-w01-cl01-vds-01","uplink1"
"vcf-lab-site1-esx06.int.sentania.net","vmnic3","nvmxnet3","2.0.0.31","7","00:50:56:80:2e:7b","True","10000","lab-vcf-w01-cl01-vds-02","uplink2"
"vcf-lab-site1-esx06.int.sentania.net","vmnic2","nvmxnet3","2.0.0.31","7","00:50:56:80:68:0c","True","10000","lab-vcf-w01-cl01-vds-02","uplink1"
"vcf-lab-site1-esx08.int.sentania.net","vmnic1","nvmxnet3","2.0.0.31","7","00:50:56:80:b8:09","True","10000","lab-vcf-w01-cl01-vds-01","uplink2"
"vcf-lab-site1-esx08.int.sentania.net","vmnic0","nvmxnet3","2.0.0.31","7","00:50:56:80:38:8e","True","10000","lab-vcf-w01-cl01-vds-01","uplink1"
"vcf-lab-site1-esx08.int.sentania.net","vmnic3","nvmxnet3","2.0.0.31","7","00:50:56:80:e8:49","True","10000","lab-vcf-w01-cl01-vds-02","uplink2"
"vcf-lab-site1-esx08.int.sentania.net","vmnic2","nvmxnet3","2.0.0.31","7","00:50:56:80:39:47","True","10000","lab-vcf-w01-cl01-vds-02","uplink1"
